id,market,detectedAt,currentPrice,previousPrice,changeRate,rankByChangeRate,rankByTradeValue,missedReason,suggestedStrategy,relatedRuleBefore,suggestedRuleAfter
1,KRW-PROS,1778457495009,1338.0,1338.0,0.0,255,1,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
2,KRW-LAYER,1778457495009,182.0,182.0,24.657534249999998,1,2,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
3,KRW-ENS,1778457495009,10810.0,10810.0,7.88423154,7,39,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
4,KRW-XEC,1778457495009,0.0127,0.0127,13.39285714,4,10,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
5,KRW-SUI,1778457495009,1949.0,1949.0,23.51077313,2,4,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
6,KRW-DEEP,1778457495009,62.3,62.3,15.37037037,3,17,"UNKNOWN: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
7,KRW-BONK,1778457525830,0.0114,0.0113,7.54716981,9,102,"TRADE_VALUE_FILTER_EXCLUDED: move 0.88% from previous snapshot, 0.88% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
8,KRW-G,1778457620642,6.08,6.08,4.46735395,7,117,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.16% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
9,KRW-MOCA,1778457620642,22.0,22.0,4.26540284,9,163,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
10,KRW-ID,1778457620642,52.1,52.1,4.40881764,8,126,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.38% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
11,KRW-GRT,1778457620642,41.9,41.9,4.75,6,118,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
12,KRW-CKB,1778457620642,2.56,2.56,6.22406639,1,175,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
13,KRW-ZRX,1778457620642,185.0,185.0,5.11363636,4,225,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
14,KRW-SOPH,1778457620642,14.2,14.2,5.18518519,3,80,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
15,KRW-MINA,1778457620642,102.0,102.0,5.80912863,2,120,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
16,KRW-MNT,1778457620642,1046.0,1046.0,3.97614314,10,178,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
17,KRW-BREV,1778457620642,198.0,198.0,4.76190476,5,135,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.50% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
18,KRW-LPT,1778457652815,3506.0,3506.0,2.90578221,9,209,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.06% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
19,KRW-ATOM,1778457652815,2954.0,2954.0,3.50385424,3,141,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.03% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
20,KRW-IOST,1778457652815,1.75,1.75,3.5502958600000003,2,231,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
21,KRW-AWE,1778457652815,82.4,82.4,3.3877038900000005,5,153,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.12% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
22,KRW-ATH,1778457652815,10.3,10.3,3.0,7,76,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.98% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
23,KRW-IMX,1778457652815,284.0,284.0,3.64963504,1,192,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
