id,changedAt,affectedStrategyName,strategyVersionBefore,strategyVersionAfterSuggestion,beforeRule,afterRule,reason,evidenceMarkets,expectedEffect,applied
1,1778457495009,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
2,1778457495009,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
3,1778457495009,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 4 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
4,1778457620642,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 8 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
5,1778457620642,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 8 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
6,1778457620642,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 8 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
7,1778457652815,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 13 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
8,1778457652815,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 13 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
9,1778457652815,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 13 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
10,1778457684646,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 18 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
11,1778457684646,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 18 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
12,1778457684646,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 18 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
13,1778457716583,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 22 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
14,1778457716583,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 22 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
15,1778457716583,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 22 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
16,1778457748583,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 24 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
17,1778457748583,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 24 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
18,1778457748583,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 24 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
19,1778457811712,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 25 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
20,1778457811712,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 25 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
21,1778457811712,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 25 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-KERNEL, KRW-BLEND, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS, KRW-LAYER, KRW-PROS",Reduce repeated misses or weak outcomes after user review.,0
22,1778460703551,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 26 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
23,1778460703551,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 26 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-MED, KRW-TT, KRW-PIEVERSE, KRW-PROS, KRW-XRP, KRW-MBL, KRW-BTC, KRW-CVC, KRW-ETH, KRW-STRAX, KRW-CTC, KRW-LAYER, KRW-KITE, KRW-USDT, KRW-AKT, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-IQ, KRW-ARK, KRW-AHT, KRW-META, KRW-ORCA, KRW-ELF, KRW-WET, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-BLEND, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC, KRW-ENS",Reduce repeated misses or weak outcomes after user review.,0
24,1778460703551,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 26 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
25,1778462531032,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 27 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
26,1778462531032,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 27 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
27,1778462531032,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 27 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-MED, KRW-TT, KRW-PIEVERSE, KRW-PROS, KRW-CTC, KRW-XRP, KRW-MBL, KRW-BTC, KRW-ETH, KRW-ZAMA, KRW-IQ, KRW-LAYER, KRW-KITE, KRW-USDT, KRW-CFG, KRW-ENS, KRW-ARK, KRW-AHT, KRW-CVC, KRW-STRAX, KRW-AKT, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ORCA, KRW-ELF, KRW-WET, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-BLEND, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX, KRW-CKB, KRW-GRT, KRW-ID, KRW-MOCA, KRW-G, KRW-BONK, KRW-DEEP, KRW-SUI, KRW-XEC",Reduce repeated misses or weak outcomes after user review.,0
28,1778463866989,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 23 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
